"age_days","L","M","S","sex"
0,0.4366,3.46,0.1222,"m"
1,0.433991375770021,3.49219712525667,0.122150718685832,"m"
2,0.431382751540041,3.52439425051335,0.122101437371663,"m"
3,0.428774127310062,3.55659137577002,0.122052156057495,"m"
4,0.426165503080082,3.58878850102669,0.122002874743326,"m"
5,0.423556878850103,3.62098562628337,0.121953593429158,"m"
6,0.420948254620123,3.65318275154004,0.12190431211499,"m"
7,0.418339630390144,3.68537987679671,0.121855030800821,"m"
8,0.415731006160164,3.71757700205339,0.121805749486653,"m"
9,0.413122381930185,3.74977412731006,0.121756468172485,"m"
10,0.410513757700205,3.78197125256674,0.121707186858316,"m"
11,0.407905133470226,3.81416837782341,0.121657905544148,"m"
12,0.405296509240246,3.84636550308008,0.121608624229979,"m"
13,0.402687885010267,3.87856262833676,0.121559342915811,"m"
14,0.400079260780287,3.91075975359343,0.121510061601643,"m"
15,0.397470636550308,3.9429568788501,0.121460780287474,"m"
16,0.394862012320329,3.97515400410678,0.121411498973306,"m"
17,0.392253388090349,4.00735112936345,0.121362217659138,"m"
18,0.38964476386037,4.03954825462012,0.121312936344969,"m"
19,0.38703613963039,4.0717453798768,0.121263655030801,"m"
20,0.384427515400411,4.10394250513347,0.121214373716632,"m"
21,0.381818891170431,4.13613963039014,0.121165092402464,"m"
22,0.379210266940452,4.16833675564682,0.121115811088296,"m"
23,0.376601642710472,4.20053388090349,0.121066529774127,"m"
24,0.373993018480493,4.23273100616017,0.121017248459959,"m"
25,0.371384394250513,4.26492813141684,0.120967967145791,"m"
26,0.368775770020534,4.29712525667351,0.120918685831622,"m"
27,0.366167145790554,4.32932238193018,0.120869404517454,"m"
28,0.363558521560575,4.36151950718686,0.120820123203285,"m"
29,0.360949897330596,4.39371663244353,0.120770841889117,"m"
30,0.358341273100616,4.42591375770021,0.120721560574949,"m"
31,0.355760626173493,4.45729686911819,0.120671501991468,"m"
32,0.353201843744607,4.48804380173717,0.120620843819214,"m"
33,0.350643356018198,4.51878210304004,0.120570199634801,"m"
34,0.348085351603852,4.54950624898449,0.120519578390446,"m"
35,0.345528019111153,4.58021071552818,0.120468989038367,"m"
36,0.342971547149687,4.61088997862883,0.120418440530781,"m"
37,0.34041612432904,4.6415385142441,0.120367941819907,"m"
38,0.337861939258797,4.67215079833169,0.120317501857961,"m"
39,0.335309180548543,4.70272130684928,0.120267129597163,"m"
40,0.332758036807863,4.73324451575456,0.120216833989729,"m"
41,0.330208696646343,4.76371490100522,0.120166623987877,"m"
42,0.327661348673568,4.79412693855894,0.120116508543825,"m"
43,0.325116181499124,4.82447510437341,0.120066496609791,"m"
44,0.322573383732595,4.85475387440631,0.120016597137993,"m"
45,0.320033143983567,4.88495772461533,0.119966819080648,"m"
46,0.317495650861626,4.91508113095816,0.119917171389974,"m"
47,0.314961092976357,4.94511856939248,0.119867663018189,"m"
48,0.312429658937345,4.97506451587598,0.11981830291751,"m"
49,0.309901537354175,5.00491344636635,0.119769100040156,"m"
50,0.307376916836433,5.03465983682127,0.119720063338344,"m"
51,0.304855985993704,5.06429816319842,0.119671201764291,"m"
52,0.302338933435573,5.0938229014555,0.119622524270217,"m"
53,0.299825947771627,5.1232285275502,0.119574039808338,"m"
54,0.297317217611449,5.15250951744019,0.119525757330871,"m"
55,0.294812931564626,5.18166034708316,0.119477685790036,"m"
56,0.292313278240743,5.21067549243681,0.11942983413805,"m"
57,0.289818446249385,5.23954942945881,0.119382211327129,"m"
58,0.287328624200137,5.26827663410685,0.119334826309493,"m"
59,0.284844000702585,5.29685158233863,0.119287688037359,"m"
60,0.282364764366315,5.32526875011181,0.119240805462945,"m"
61,0.279891103737291,5.35352261586165,0.119194187534836,"m"
62,0.277423161237248,5.38160945424757,0.119147840568314,"m"
63,0.274960951857802,5.40953050246282,0.11910176360348,"m"
64,0.272504468769036,5.43728784750055,0.119055954434609,"m"
65,0.270053705141033,5.46488357635386,0.119010410855976,"m"
66,0.267608654143875,5.4923197760159,0.118965130661857,"m"
67,0.265169308947646,5.51959853347977,0.118920111646526,"m"
68,0.262735662722428,5.54672193573862,0.11887535160426,"m"
69,0.260307708638305,5.57369206978556,0.118830848329333,"m"
70,0.25788543986536,5.60051102261371,0.11878659961602,"m"
71,0.255468849573674,5.62718088121621,0.118742603258598,"m"
72,0.253057930933332,5.65370373258618,0.118698857051341,"m"
73,0.250652677114415,5.68008166371674,0.118655358788524,"m"
74,0.248253081287008,5.70631676160101,0.118612106264424,"m"
75,0.245859136621193,5.73241111323213,0.118569097273314,"m"
76,0.243470836287052,5.75836680560322,0.118526329609471,"m"
77,0.241088173454669,5.7841859257074,0.11848380106717,"m"
78,0.238711141294127,5.8098705605378,0.118441509440686,"m"
79,0.236339732975509,5.83542279708754,0.118399452524294,"m"
80,0.233973941668896,5.86084472234975,0.118357628112269,"m"
81,0.231613760544374,5.88613842331755,0.118316033998888,"m"
82,0.229259182772024,5.91130598698407,0.118274667978424,"m"
83,0.226910201521928,5.93634950034243,0.118233527845154,"m"
84,0.224566809964171,5.96127105038576,0.118192611393353,"m"
85,0.222229001268836,5.98607272410719,0.118151916417296,"m"
86,0.219896768606004,6.01075660849983,0.118111440711258,"m"
87,0.217570105145759,6.03532479055681,0.118071182069515,"m"
88,0.215249004058184,6.05977935727127,0.118031138286342,"m"
89,0.212933458513361,6.08412239563631,0.117991307156014,"m"
90,0.210623461681375,6.10835599264507,0.117951686472806,"m"
91,0.208319006732306,6.13248223529068,0.117912274030994,"m"
92,0.206020088842225,6.15650305983467,0.117873067737309,"m"
93,0.203726724828026,6.18041877642676,0.11783406671166,"m"
94,0.201438944710541,6.20422870306081,0.117795270814167,"m"
95,0.199156778698991,6.22793214357487,0.117756679915512,"m"
96,0.196880257002596,6.25152840180693,0.117718293886375,"m"
97,0.194609409830579,6.27501678159501,0.117680112597438,"m"
98,0.192344267392161,6.29839658677714,0.117642135919382,"m"
99,0.190084859896562,6.32166712119132,0.117604363722888,"m"
100,0.187831217553005,6.34482768867559,0.117566795878636,"m"
101,0.185583370570711,6.36787759306795,0.117529432257309,"m"
102,0.183341349158901,6.39081613820642,0.117492272729587,"m"
103,0.181105183526796,6.41364262792902,0.117455317166151,"m"
104,0.178874903883617,6.43635636607377,0.117418565437682,"m"
105,0.176650540438587,6.45895665647868,0.117382017414862,"m"
106,0.174432123400926,6.48144280298177,0.117345672968371,"m"
107,0.172219682979855,6.50381410942106,0.11730953196889,"m"
108,0.170013249384597,6.52606987963457,0.117273594287101,"m"
109,0.167812852824372,6.54820941746031,0.117237859793685,"m"
110,0.165618523508401,6.57023202673629,0.117202328359323,"m"
