"age_days","L","M","S","sex"
1095,1,96.6,0.0395037067081711,"m"
1096,1,96.6054072553046,0.0395034046853286,"m"
1097,1,96.6270362765229,0.0395021965939586,"m"
1098,1,96.6486652977413,0.0395009885025886,"m"
1099,1,96.6702943189596,0.0394997804112186,"m"
1100,1,96.691923340178,0.0394985723198486,"m"
1101,1,96.7135523613963,0.0394973642284785,"m"
1102,1,96.7351813826146,0.0394961561371085,"m"
1103,1,96.756810403833,0.0394949480457385,"m"
1104,1,96.7784394250513,0.0394937399543685,"m"
1105,1,96.8000684462697,0.0394925318629985,"m"
1106,1,96.821697467488,0.0394913237716285,"m"
1107,1,96.8433264887064,0.0394901156802585,"m"
1108,1,96.8649555099247,0.0394889075888885,"m"
1109,1,96.886584531143,0.0394876994975185,"m"
1110,1,96.9082135523614,0.0394864914061485,"m"
1111,1,96.9298425735797,0.0394852833147785,"m"
1112,1,96.9514715947981,0.0394840752234084,"m"
1113,1,96.9731006160164,0.0394828671320384,"m"
1114,1,96.9947296372348,0.0394816590406684,"m"
1115,1,97.0163586584531,0.0394804509492984,"m"
1116,1,97.0379876796714,0.0394792428579284,"m"
1117,1,97.0596167008898,0.0394780347665584,"m"
1118,1,97.0812457221081,0.0394768266751884,"m"
1119,1,97.1028747433265,0.0394756185838184,"m"
1120,1,97.1245037645448,0.0394744104924484,"m"
1121,1,97.1461327857632,0.0394732024010784,"m"
1122,1,97.1677618069815,0.0394719943097084,"m"
1123,1,97.1893908281999,0.0394707862183383,"m"
1124,1,97.2110198494182,0.0394695781269683,"m"
1125,1,97.2326488706365,0.0394683700355983,"m"
1126,1,97.2542778918549,0.0394671619442283,"m"
1127,1,97.2759069130732,0.0394659538528583,"m"
1128,1,97.2975359342916,0.0394647457614883,"m"
1129,1,97.3191649555099,0.0394635376701183,"m"
1130,1,97.3407939767283,0.0394623295787483,"m"
1131,1,97.3624229979466,0.0394611214873783,"m"
1132,1,97.384052019165,0.0394599133960083,"m"
1133,1,97.4056810403833,0.0394587053046383,"m"
1134,1,97.4273100616016,0.0394574972132683,"m"
1135,1,97.44893908282,0.0394562891218982,"m"
1136,1,97.4705681040383,0.0394550810305282,"m"
1137,1,97.4921971252567,0.0394538729391582,"m"
1138,1,97.513826146475,0.0394526648477882,"m"
1139,1,97.5354551676934,0.0394514567564182,"m"
1140,1,97.5570841889117,0.0394502486650482,"m"
1141,1,97.57871321013,0.0394490405736782,"m"
1142,1,97.6003422313484,0.0394478324823082,"m"
1143,1,97.6219712525667,0.0394466243909382,"m"
1144,1,97.6436002737851,0.0394454162995682,"m"
1145,1,97.6652292950034,0.0394442082081982,"m"
1146,1,97.6868583162218,0.0394430001168281,"m"
1147,1,97.7084873374401,0.0394417920254581,"m"
1148,1,97.7301163586584,0.0394405839340881,"m"
1149,1,97.7517453798768,0.0394393758427181,"m"
1150,1,97.7733744010951,0.0394381677513481,"m"
1151,1,97.7950034223135,0.0394369596599781,"m"
1152,1,97.8166324435318,0.0394357515686081,"m"
1153,1,97.8382614647502,0.0394345434772381,"m"
1154,1,97.8598904859685,0.0394333353858681,"m"
1155,1,97.8815195071869,0.0394321272944981,"m"
1156,1,97.9031485284052,0.0394309192031281,"m"
1157,1,97.9247775496235,0.039429711111758,"m"
1158,1,97.9464065708419,0.039428503020388,"m"
1159,1,97.9680355920602,0.039427294929018,"m"
1160,1,97.9896646132786,0.039426086837648,"m"
1161,1,98.0112936344969,0.039424878746278,"m"
1162,1,98.0329226557153,0.039423670654908,"m"
1163,1,98.0545516769336,0.039422462563538,"m"
1164,1,98.0761806981519,0.039421254472168,"m"
1165,1,98.0978097193703,0.039420046380798,"m"
1166,1,98.1194387405886,0.039418838289428,"m"
1167,1,98.141067761807,0.039417630198058,"m"
1168,1,98.1626967830253,0.0394164221066879,"m"
1169,1,98.1843258042437,0.0394152140153179,"m"
1170,1,98.205954825462,0.0394140059239479,"m"
1171,1,98.2275838466803,0.0394127978325779,"m"
1172,1,98.2492128678987,0.0394115897412079,"m"
1173,1,98.270841889117,0.0394103816498379,"m"
1174,1,98.2924709103354,0.0394091735584679,"m"
1175,1,98.3140999315537,0.0394079654670979,"m"
1176,1,98.3357289527721,0.0394067573757279,"m"
1177,1,98.3573579739904,0.0394055492843579,"m"
1178,1,98.3789869952088,0.0394043411929879,"m"
1179,1,98.4006160164271,0.0394031331016179,"m"
1180,1,98.4222450376454,0.0394019250102478,"m"
1181,1,98.4438740588638,0.0394007169188778,"m"
1182,1,98.4655030800821,0.0393995088275078,"m"
1183,1,98.4871321013005,0.0393983007361378,"m"
1184,1,98.5087611225188,0.0393970926447678,"m"
1185,1,98.5303901437372,0.0393958845533978,"m"
1186,1,98.5520191649555,0.0393946764620278,"m"
1187,1,98.5736481861739,0.0393934683706578,"m"
1188,1,98.5952772073922,0.0393922602792878,"m"
1189,1,98.6169062286105,0.0393910521879178,"m"
1190,1,98.6385352498289,0.0393898440965478,"m"
1191,1,98.6601642710472,0.0393886360051778,"m"
1192,1,98.6817932922656,0.0393874279138077,"m"
1193,1,98.7034223134839,0.0393862198224377,"m"
1194,1,98.7250513347023,0.0393850117310677,"m"
1195,1,98.7466803559206,0.0393838036396977,"m"
1196,1,98.7683093771389,0.0393825955483277,"m"
1197,1,98.7899383983573,0.0393813874569577,"m"
1198,1,98.8115674195756,0.0393801793655877,"m"
1199,1,98.833196440794,0.0393789712742177,"m"
1200,1,98.8548254620123,0.0393777631828477,"m"
1201,1,98.8764544832307,0.0393765550914777,"m"
1202,1,98.898083504449,0.0393753470001076,"m"
1203,1,98.9197125256674,0.0393741389087376,"m"
1204,1,98.9413415468857,0.0393729308173676,"m"
1205,1,98.962970568104,0.0393717227259976,"m"
1206,1,98.9845995893224,0.0393705146346276,"m"
1207,1,99.0062286105407,0.0393693065432576,"m"
