"age_days","L","M","S","sex"
908,1,91.8078,0.03699,"m"
909,1,91.8323,0.037,"m"
910,1,91.8566,0.03701,"m"
911,1,91.881,0.03702,"m"
912,1,91.9053,0.03703,"m"
913,1,91.9297,0.03704,"m"
914,1,91.954,0.03705,"m"
915,1,91.9783,0.03706,"m"
916,1,92.0025,0.03707,"m"
917,1,92.0268,0.03708,"m"
918,1,92.051,0.03709,"m"
919,1,92.0752,0.0371,"m"
920,1,92.0993,0.03711,"m"
921,1,92.1235,0.03711,"m"
922,1,92.1476,0.03712,"m"
923,1,92.1717,0.03713,"m"
924,1,92.1958,0.03714,"m"
925,1,92.2199,0.03715,"m"
926,1,92.244,0.03716,"m"
927,1,92.268,0.03717,"m"
928,1,92.292,0.03718,"m"
929,1,92.316,0.03719,"m"
930,1,92.34,0.0372,"m"
931,1,92.3639,0.03721,"m"
932,1,92.3879,0.03722,"m"
933,1,92.4118,0.03723,"m"
934,1,92.4357,0.03724,"m"
935,1,92.4595,0.03725,"m"
936,1,92.4834,0.03726,"m"
937,1,92.5072,0.03727,"m"
938,1,92.531,0.03728,"m"
939,1,92.5548,0.03729,"m"
940,1,92.5786,0.0373,"m"
941,1,92.6023,0.0373,"m"
942,1,92.6261,0.03731,"m"
943,1,92.6498,0.03732,"m"
944,1,92.6735,0.03733,"m"
945,1,92.6971,0.03734,"m"
946,1,92.7208,0.03735,"m"
947,1,92.7444,0.03736,"m"
948,1,92.768,0.03737,"m"
949,1,92.7916,0.03738,"m"
950,1,92.8152,0.03739,"m"
951,1,92.8388,0.0374,"m"
952,1,92.8623,0.03741,"m"
953,1,92.8858,0.03742,"m"
954,1,92.9093,0.03743,"m"
955,1,92.9328,0.03743,"m"
956,1,92.9562,0.03744,"m"
957,1,92.9797,0.03745,"m"
958,1,93.0031,0.03746,"m"
959,1,93.0265,0.03747,"m"
960,1,93.0499,0.03748,"m"
961,1,93.0732,0.03749,"m"
962,1,93.0966,0.0375,"m"
963,1,93.1199,0.03751,"m"
964,1,93.1432,0.03752,"m"
965,1,93.1665,0.03753,"m"
966,1,93.1898,0.03753,"m"
967,1,93.213,0.03754,"m"
968,1,93.2363,0.03755,"m"
969,1,93.2595,0.03756,"m"
970,1,93.2827,0.03757,"m"
971,1,93.3059,0.03758,"m"
972,1,93.329,0.03759,"m"
973,1,93.3522,0.0376,"m"
974,1,93.3753,0.03761,"m"
975,1,93.3984,0.03762,"m"
976,1,93.4215,0.03762,"m"
977,1,93.4446,0.03763,"m"
978,1,93.4676,0.03764,"m"
979,1,93.4906,0.03765,"m"
980,1,93.5137,0.03766,"m"
981,1,93.5367,0.03767,"m"
982,1,93.5596,0.03768,"m"
983,1,93.5826,0.03769,"m"
984,1,93.6056,0.03769,"m"
985,1,93.6285,0.0377,"m"
986,1,93.6514,0.03771,"m"
987,1,93.6743,0.03772,"m"
988,1,93.6972,0.03773,"m"
