"age_days","L","M","S","sex"
365,1,24.3,0.0864197530864197,"m"
366,1,24.2581108829569,0.0865891158025662,"m"
367,1,24.2022587268994,0.0868149327574282,"m"
368,1,24.1464065708419,0.0870407497122901,"m"
369,1,24.0905544147844,0.0872665666671521,"m"
370,1,24.0347022587269,0.0874923836220141,"m"
371,1,23.9788501026694,0.087718200576876,"m"
372,1,23.9229979466119,0.087944017531738,"m"
373,1,23.8671457905544,0.0881698344865999,"m"
374,1,23.8112936344969,0.0883956514414619,"m"
375,1,23.7554414784394,0.0886214683963239,"m"
376,1,23.6995893223819,0.0888472853511858,"m"
377,1,23.6437371663244,0.0890731023060478,"m"
378,1,23.5878850102669,0.0892989192609097,"m"
379,1,23.5320328542094,0.0895247362157717,"m"
380,1,23.4761806981519,0.0897505531706337,"m"
381,1,23.4203285420945,0.0899763701254956,"m"
382,1,23.364476386037,0.0902021870803576,"m"
383,1,23.3086242299795,0.0904280040352195,"m"
384,1,23.252772073922,0.0906538209900815,"m"
385,1,23.1969199178645,0.0908796379449435,"m"
386,1,23.141067761807,0.0911054548998054,"m"
387,1,23.0852156057495,0.0913312718546674,"m"
388,1,23.029363449692,0.0915570888095293,"m"
389,1,22.9735112936345,0.0917829057643913,"m"
390,1,22.917659137577,0.0920087227192533,"m"
391,1,22.8618069815195,0.0922345396741152,"m"
392,1,22.805954825462,0.0924603566289772,"m"
393,1,22.7501026694045,0.0926861735838391,"m"
394,1,22.694250513347,0.0929119905387011,"m"
395,1,22.6383983572895,0.093137807493563,"m"
396,1,22.582546201232,0.093363624448425,"m"
397,1,22.5266940451745,0.093589441403287,"m"
398,1,22.470841889117,0.0938152583581489,"m"
399,1,22.4149897330595,0.0940410753130109,"m"
400,1,22.3591375770021,0.0942668922678728,"m"
401,1,22.3032854209446,0.0944927092227348,"m"
402,1,22.2474332648871,0.0947185261775968,"m"
403,1,22.1915811088296,0.0949443431324587,"m"
404,1,22.1357289527721,0.0951701600873207,"m"
405,1,22.0798767967146,0.0953959770421826,"m"
406,1,22.0240246406571,0.0956217939970446,"m"
407,1,21.9681724845996,0.0958476109519066,"m"
408,1,21.9123203285421,0.0960734279067685,"m"
409,1,21.8564681724846,0.0962992448616305,"m"
410,1,21.8006160164271,0.0965250618164924,"m"
411,1,21.7447638603696,0.0967508787713544,"m"
412,1,21.6889117043121,0.0969766957262164,"m"
413,1,21.6330595482546,0.0972025126810783,"m"
414,1,21.5772073921971,0.0974283296359403,"m"
415,1,21.5213552361396,0.0976541465908022,"m"
416,1,21.4655030800821,0.0978799635456642,"m"
417,1,21.4096509240246,0.0981057805005262,"m"
418,1,21.3537987679671,0.0983315974553881,"m"
419,1,21.2979466119097,0.0985574144102501,"m"
420,1,21.2420944558522,0.098783231365112,"m"
421,1,21.1862422997947,0.099009048319974,"m"
422,1,21.1303901437372,0.099234865274836,"m"
423,1,21.0745379876797,0.0994606822296979,"m"
424,1,21.0186858316222,0.0996864991845599,"m"
425,1,20.9628336755647,0.0999123161394218,"m"
426,1,20.9069815195072,0.100138133094284,"m"
427,1,20.8511293634497,0.100363950049146,"m"
428,1,20.7952772073922,0.100589767004008,"m"
429,1,20.7394250513347,0.10081558395887,"m"
430,1,20.6835728952772,0.101041400913732,"m"
431,1,20.6277207392197,0.101267217868594,"m"
432,1,20.5718685831622,0.101493034823456,"m"
433,1,20.5160164271047,0.101718851778318,"m"
434,1,20.4601642710472,0.101944668733179,"m"
435,1,20.4043121149897,0.102170485688041,"m"
436,1,20.3484599589322,0.102396302642903,"m"
437,1,20.2926078028747,0.102622119597765,"m"
438,1,20.2367556468172,0.102847936552627,"m"
439,1,20.1809034907598,0.103073753507489,"m"
440,1,20.1250513347023,0.103299570462351,"m"
441,1,20.0691991786448,0.103525387417213,"m"
442,1,20.0133470225873,0.103751204372075,"m"
443,1,19.9574948665298,0.103977021326937,"m"
444,1,19.9016427104723,0.104202838281799,"m"
445,1,19.8457905544148,0.104428655236661,"m"
446,1,19.7899383983573,0.104654472191523,"m"
447,1,19.7340862422998,0.104880289146385,"m"
448,1,19.6782340862423,0.105106106101247,"m"
449,1,19.6223819301848,0.105331923056109,"m"
450,1,19.5665297741273,0.105557740010971,"m"
451,1,19.5106776180698,0.105783556965833,"m"
452,1,19.4548254620123,0.106009373920695,"m"
453,1,19.3989733059548,0.106235190875557,"m"
454,1,19.3431211498973,0.106461007830419,"m"
455,1,19.2872689938398,0.106686824785281,"m"
456,1,19.2314168377823,0.106912641740143,"m"
457,1,19.1755646817248,0.107138458695005,"m"
458,1,19.1197125256674,0.107364275649867,"m"
459,1,19.0638603696099,0.107590092604728,"m"
460,1,19.0080082135524,0.10781590955959,"m"
461,1,18.9521560574949,0.108041726514452,"m"
462,1,18.8963039014374,0.108267543469314,"m"
463,1,18.8404517453799,0.108493360424176,"m"
464,1,18.7845995893224,0.108719177379038,"m"
465,1,18.7287474332649,0.1089449943339,"m"
466,1,18.6728952772074,0.109170811288762,"m"
467,1,18.6170431211499,0.109396628243624,"m"
468,1,18.5611909650924,0.109622445198486,"m"
469,1,18.5053388090349,0.109848262153348,"m"
470,1,18.4494866529774,0.11007407910821,"m"
471,1,18.3936344969199,0.110299896063072,"m"
472,1,18.3377823408624,0.110525713017934,"m"
473,1,18.2819301848049,0.110751529972796,"m"
474,1,18.2260780287474,0.110977346927658,"m"
475,1,18.1702258726899,0.11120316388252,"m"
476,1,18.1143737166324,0.111428980837382,"m"
477,1,18.0585215605749,0.111654797792244,"m"
478,1,18.0026694045175,0.111880614747106,"m"
479,1,17.94681724846,0.112106431701968,"m"
480,1,17.8909650924025,0.11233224865683,"m"
481,1,17.835112936345,0.112558065611692,"m"
482,1,17.7792607802875,0.112783882566554,"m"
483,1,17.72340862423,0.113009699521415,"m"
484,1,17.6675564681725,0.113235516476277,"m"
485,1,17.611704312115,0.113461333431139,"m"
486,1,17.5558521560575,0.113687150386001,"m"
487,1,17.5,0.113912967340863,"m"
488,1,17.4441478439425,0.114138784295725,"m"
489,1,17.388295687885,0.114364601250587,"m"
490,1,17.3324435318275,0.114590418205449,"m"
491,1,17.27659137577,0.114816235160311,"m"
492,1,17.2207392197125,0.115042052115173,"m"
493,1,17.164887063655,0.115267869070035,"m"
494,1,17.1090349075975,0.115493686024897,"m"
495,1,17.05318275154,0.115719502979759,"m"
496,1,16.9973305954825,0.115945319934621,"m"
497,1,16.9414784394251,0.116171136889483,"m"
498,1,16.8856262833676,0.116396953844345,"m"
499,1,16.8297741273101,0.116622770799207,"m"
500,1,16.7739219712526,0.116848587754069,"m"
501,1,16.7180698151951,0.117074404708931,"m"
502,1,16.6622176591376,0.117300221663793,"m"
503,1,16.6063655030801,0.117526038618655,"m"
504,1,16.5505133470226,0.117751855573517,"m"
505,1,16.4946611909651,0.117977672528379,"m"
506,1,16.4388090349076,0.118203489483241,"m"
507,1,16.3829568788501,0.118429306438103,"m"
508,1,16.3271047227926,0.118655123392964,"m"
509,1,16.2712525667351,0.118880940347826,"m"
