__SVJCKHsex,__SVJCKHxvar,__SVJCKHl,__SVJCKHm,__SVJCKHs
1,13.5,1,158.55,.051290002
1,13.583,1,159.2,.051320001
1,13.667,1,159.84,.05133
1,13.75,1,160.47,.051309999
1,13.833,1,161.11,.051259998
1,13.917,1,161.74001,.051199999
1,14,1,162.36,.051100001
1,14.083,1,162.97,.050980002
1,14.167,1,163.58,.050829999
1,14.25,1,164.17,.050650001
1,14.333,1,164.75,.050450001
1,14.417,1,165.33,.05023
1,14.5,1,165.88,.04998
1,14.583,1,166.42999,.049710002
1,14.667,1,166.96001,.049419999
1,14.75,1,167.48,.049120001
1,14.833,1,167.98,.04879
1,14.917,1,168.47,.048459999
1,15,1,168.94,.048110001
1,15.083,1,169.39999,.047759999
1,15.167,1,169.84,.047400001
1,15.25,1,170.25999,.047029998
1,15.333,1,170.67,.046659999
1,15.417,1,171.06,.046300001
1,15.5,1,171.42999,.045940001
1,15.583,1,171.78999,.04558
1,15.667,1,172.14,.045219999
1,15.75,1,172.48,.044879999
1,15.833,1,172.78999,.044539999
1,15.917,1,173.10001,.044210002
1,16,1,173.39,.043889999
1,16.083,1,173.66,.043579999
1,16.167,1,173.92999,.043280002
1,16.25,1,174.17999,.043000001
1,16.333,1,174.42,.04273
1,16.417,1,174.64,.042459998
1,16.5,1,174.86,.04222
1,16.583,1,175.06,.041979998
1,16.667,1,175.25,.041749999
1,16.75,1,175.42999,.041540001
1,16.833,1,175.61,.041340001
1,16.917,1,175.77,.041140001
1,17,1,175.92,.040959999
1,17.083,1,176.07001,.040789999
1,17.167,1,176.21001,.040630002
1,17.25,1,176.33,.04047
1,17.333,1,176.45,.04033
1,17.417,1,176.57001,.040199999
1,17.5,1,176.67,.04008
1,17.583,1,176.75999,.039969999
1,17.667,1,176.85001,.039870001
1,17.75,1,176.92,.039790001
1,17.833,1,176.99001,.03971
1,17.917,1,177.03999,.039639998
1,18,1,177.09,.039579999
1,18.083,1,177.13,.039530002
1,18.167,1,177.17,.039480001
1,18.25,1,177.2,.039450001
1,18.333,1,177.23,.039420001
1,18.417,1,177.25,.0394
1,18.5,1,177.25999,.039379999
1,18.583,1,177.27,.03937
1,18.667,1,177.27,.039360002
1,18.75,1,177.28,.039360002
1,18.833,1,177.28,.039360002
1,18.917,1,177.28,.039360002
1,19,1,177.28,.039349999
1,19.083,1,177.28999,.039349999
1,19.167,1,177.28999,.039340001
1,19.25,1,177.28999,.039340001
1,19.333,1,177.3,.039340001
1,19.417,1,177.3,.039340001
1,19.5,1,177.3,.039340001
1,19.583,1,177.3,.039329998
1,19.667,1,177.3,.039329998
1,19.75,1,177.31,.03932
1,19.833,1,177.32001,.039310001
1,19.917,1,177.33,.039299998
1,20,1,177.34,.03929
2,-.057494868,1,50,.039900001
2,.03832991,1,50,.039900001
2,.03832991,1,51.512001,.036940001
2,.057494868,1,52.469501,.03669
2,.076659821,1,53.380901,.03647
2,.083333336,1,53.687199,.036400001
2,.095824778,1,54.245399,.03627
2,.11498974,1,55.064201,.036090001
2,.13415469,1,55.840599,.03593
2,.15331964,1,56.576698,.035780001
2,.16666667,1,57.067299,.03568
2,.17248461,1,57.2761,.035640001
2,.19164956,1,57.9436,.035519999
2,.21081451,1,58.5816,.035399999
2,.22997947,1,59.1922,.035300002
2,.24914442,1,59.777302,.0352
2,.25,1,59.802898,.0352
2,.33333334,1,62.089901,.03486
2,.41666666,1,64.030098,.034630001
2,.5,1,65.731102,.034480002
2,.58333331,1,67.2873,.03441
2,.66666669,1,68.749802,.034400001
2,.75,1,70.143501,.03444
2,.83333331,1,71.481796,.03452
2,.91666669,1,72.771004,.034639999
2,1,1,74.014999,.034790002
2,1.0833334,1,75.217598,.034960002
2,1.1666666,1,76.381699,.03514
2,1.25,1,77.509903,.03534
2,1.3333334,1,78.605499,.035549998
2,1.4166666,1,79.670998,.03576
2,1.5,1,80.707901,.035980001
2,1.5833334,1,81.718201,.036200002
2,1.6666666,1,82.703598,.036430001
2,1.75,1,83.665398,.036660001
2,1.8333334,1,84.603996,.036880001
2,1.9166666,1,85.520203,.037110001
2,2,1,86.415298,.03734
2,2,1,85.715302,.037640002
2,2.0833333,1,86.590401,.037859999
2,2.1666667,1,87.446198,.038079999
2,2.25,1,88.282997,.0383
2,2.3333333,1,89.100403,.038509998
2,2.4166667,1,89.899101,.038720001
2,2.5,1,90.679703,.038929999
2,2.5833333,1,91.443001,.039129999
2,2.6666667,1,92.190598,.039329998
2,2.75,1,92.923897,.039519999
2,2.8333333,1,93.644402,.03971
2,2.9166667,1,94.353302,.039889999
2,3,1,95.051498,.040059999
2,3.0833333,1,95.739899,.040240001
