__SVJCKHsex,__SVJCKHxvar,__SVJCKHl,__SVJCKHm,__SVJCKHs
1,11.083,-1.007,34.8568,.17118999
1,11.167,-.99599999,35.129799,.17175999
1,11.25,-.98500001,35.404999,.17233001
1,11.333,-.97299999,35.682301,.17288999
1,11.417,-.95999998,35.963299,.17343
1,11.5,-.94700003,36.25,.17397
1,11.583,-.93300003,36.543201,.17449
1,11.667,-.91799998,36.8423,.175
1,11.75,-.903,37.148998,.17550001
1,11.833,-.88700002,37.463799,.17599
1,11.917,-.87,37.787701,.17647
1,12,-.852,38.122002,.17692
1,12.083,-.83399999,38.465302,.17736
1,12.167,-.81599998,38.820099,.17778
1,12.25,-.796,39.185001,.17820001
1,12.333,-.77600002,39.561901,.1786
1,12.417,-.755,39.949402,.17900001
1,12.5,-.73400003,40.348,.17938
1,12.583,-.71200001,40.757702,.17978001
1,12.667,-.69,41.177799,.18017
1,12.75,-.66799998,41.609001,.18057001
1,12.833,-.64499998,42.0509,.18095
1,12.917,-.62199998,42.505199,.18134999
1,13,-.59899998,42.970001,.18173
1,13.083,-.57499999,43.445702,.1821
1,13.167,-.55199999,43.931999,.18245
1,13.25,-.52999997,44.428001,.18278
1,13.333,-.50700003,44.9328,.18307
1,13.417,-.48500001,45.4445,.18334
1,13.5,-.463,45.963001,.18358999
1,13.583,-.442,46.486801,.1838
1,13.667,-.42199999,47.015301,.18397
1,13.75,-.403,47.547001,.18411
1,13.833,-.384,48.081001,.18421
1,13.917,-.36700001,48.617298,.18426999
1,14,-.35100001,49.153999,.18427999
1,14.083,-.336,49.690701,.18425
1,14.167,-.322,50.225899,.18415
1,14.25,-.31,50.759998,.18399
1,14.333,-.29899999,51.2915,.18376
1,14.417,-.289,51.819199,.18346
1,14.5,-.28099999,52.342999,.18309
1,14.583,-.27500001,52.861801,.18263
1,14.667,-.26899999,53.375,.18209
1,14.75,-.266,53.882999,.18145999
1,14.833,-.26300001,54.384998,.18075
1,14.917,-.26300001,54.880699,.17995
1,15,-.26300001,55.368999,.17907999
1,15.083,-.26499999,55.851002,.17813
1,15.167,-.26800001,56.3242,.1771
1,15.25,-.27200001,56.7897,.176
1,15.333,-.278,57.247398,.17482001
1,15.417,-.28400001,57.696602,.17357001
1,15.5,-.292,58.138,.17226
1,15.583,-.30000001,58.569698,.17087001
1,15.667,-.30899999,58.993301,.16944
1,15.75,-.31900001,59.407398,.16797
1,15.833,-.33000001,59.8116,.16644999
1,15.917,-.34099999,60.2047,.16491
1,16,-.352,60.588001,.16336
1,16.083,-.36399999,60.959702,.1618
1,16.167,-.37599999,61.3195,.16024999
1,16.25,-.38699999,61.667999,.15872
1,16.333,-.39899999,62.005299,.15722001
1,16.417,-.41100001,62.332401,.15576001
1,16.5,-.42199999,62.646999,.15434
1,16.583,-.43399999,62.9519,.15297
1,16.667,-.44499999,63.2463,.15166
1,16.75,-.456,63.530998,.15041
1,16.833,-.46700001,63.806,.14922
1,16.917,-.47799999,64.071701,.14806999
1,17,-.48899999,64.329002,.14699
1,17.083,-.5,64.578201,.14596
1,17.167,-.50999999,64.818703,.14498
1,17.25,-.51999998,65.051003,.14407
1,17.333,-.52999997,65.276802,.1432
1,17.417,-.53899997,65.493301,.14238
1,17.5,-.54900002,65.704002,.14161
1,17.583,-.55800003,65.906898,.14088
1,17.667,-.56699997,66.103302,.1402
1,17.75,-.57499999,66.292,.13956
1,17.833,-.583,66.476501,.13896
1,17.917,-.59100002,66.654099,.13839
1,18,-.59899998,66.823997,.13786
1,18.083,-.60600001,66.988297,.13734999
1,18.167,-.61299998,67.147003,.13688
1,18.25,-.62,67.300003,.13643
1,18.333,-.62699997,67.447998,.13601001
1,18.417,-.63300002,67.589798,.13561
1,18.5,-.639,67.727997,.13523
1,18.583,-.64499998,67.860703,.13488001
1,18.667,-.65100002,67.987999,.13452999
1,18.75,-.65600002,68.111,.13422
1,18.833,-.662,68.229797,.13392
1,18.917,-.667,68.343697,.13362999
1,19,-.671,68.454002,.13335
1,19.083,-.676,68.559502,.1331
1,19.167,-.68000001,68.661301,.13283999
1,19.25,-.685,68.760002,.13260999
1,19.333,-.68900001,68.855499,.13239001
1,19.417,-.69300002,68.946701,.13217001
1,19.5,-.69700003,69.036003,.13197
1,19.583,-.69999999,69.122299,.13177
1,19.667,-.704,69.206703,.13158
1,19.75,-.708,69.289001,.13139001
1,19.833,-.71100003,69.369301,.13122
1,19.917,-.71399999,69.446999,.13105001
1,20,-.71799999,69.524002,.13088
2,-.057494868,1,3.3599999,.1408
2,.03832991,1,3.3599999,.1408
2,.03832991,.2304,3.5692999,.14339
2,.057494868,.2024,3.8352001,.1406
2,.076659821,.1789,4.0987,.13805
2,.083333336,.1714,4.1873002,.13723999
2,.095824778,.1582,4.3476,.13583
2,.11498974,.13950001,4.5792999,.13392
2,.13415469,.1224,4.7950001,.13228001
2,.15331964,.1065,4.9959002,.13087
2,.16666667,.096199997,5.1282001,.13
2,.17248461,.091799997,5.1841998,.12966
2,.19164956,.0779,5.3618002,.12861
2,.21081451,.064800002,5.5295,.1277
2,.22997947,.052499998,5.6883001,.12691
2,.24914442,.0407,5.8393002,.12622
2,.25,.040199999,5.8457999,.12619001
2,.33333334,-.0049999999,6.4236999,.12402
2,.41666666,-.043000001,6.8985,.12274
2,.5,-.075599998,7.2969999,.12204
2,.58333331,-.1039,7.6422,.12178
2,.66666669,-.1288,7.9487,.12181
2,.75,-.1507,8.2254,.12199
2,.83333331,-.17,8.4799995,.12223
2,.91666669,-.18719999,8.7192001,.12247
2,1,-.2024,8.9481001,.12268
2,1.0833334,-.2158,9.1698999,.12283
2,1.1666666,-.2278,9.3870001,.12294
2,1.25,-.2384,9.6007996,.12299
2,1.3333334,-.24779999,9.8123999,.12303
2,1.4166666,-.25619999,10.0226,.12306
2,1.5,-.26370001,10.2315,.12309
2,1.5833334,-.2703,10.4393,.12315
2,1.6666666,-.2762,10.6464,.12323
2,1.75,-.28150001,10.8534,.12335
2,1.8333334,-.28619999,11.0608,.1235
2,1.9166666,-.29030001,11.2688,.12369
2,2,-.29409999,11.4775,.1239
2,2,-.29409999,11.4775,.1239
2,2.0833333,-.29750001,11.6864,.12414
2,2.1666667,-.30050001,11.8947,.12441
2,2.25,-.30320001,12.1015,.12472
2,2.3333333,-.3057,12.3059,.12506001
2,2.4166667,-.308,12.5073,.12545
2,2.5,-.31009999,12.7055,.12587
2,2.5833333,-.31200001,12.9006,.12633
2,2.6666667,-.31380001,13.093,.12683
2,2.75,-.31549999,13.2837,.12737
2,2.8333333,-.31709999,13.4731,.12794
2,2.9166667,-.3186,13.6618,.12854999
2,3,-.32010001,13.8503,.12919
2,3.0833333,-.32159999,14.0385,.12988
2,3.1666667,-.32300001,14.2265,.13059001
2,3.25,-.32429999,14.414,.13135
2,3.3333333,-.32570001,14.601,.13213
2,3.4166667,-.32699999,14.7873,.13293
2,3.5,-.3283,14.9727,.13376001
2,3.5833333,-.32960001,15.1573,.1346
2,3.6666667,-.33090001,15.341,.13545001
2,3.75,-.33219999,15.524,.1363
2,3.8333333,-.3335,15.7064,.13716
2,3.9166667,-.3348,15.8882,.138
2,4,-.33610001,16.0697,.13884
2,4,-.51599997,16.198,.1244
2,4.0830002,-.52399999,16.3661,.12512
2,4.1669998,-.53200001,16.5359,.12583999
2,4.25,-.53899997,16.705999,.12657
2,4.3330002,-.54699999,16.878099,.12730999
2,4.4169998,-.55500001,17.051901,.12806
2,4.5,-.56300002,17.226999,.12881
2,4.5830002,-.56999999,17.4041,.12957001
2,4.6669998,-.57800001,17.5819,.13033
2,4.75,-.58499998,17.761,.1311
2,4.8330002,-.59200001,17.9401,.13186
2,4.9169998,-.60000002,18.119801,.13264
2,5,-.60699999,18.299,.13339999
2,5.0830002,-.61400002,18.479099,.13416
2,5.1669998,-.62099999,18.6581,.13493
2,5.25,-.62699997,18.837,.13569
2,5.3330002,-.634,19.017,.13643
2,5.4169998,-.63999999,19.196699,.13719
2,5.5,-.64700001,19.377001,.13794
2,5.5830002,-.653,19.5581,.13868
2,5.6669998,-.65899998,19.7404,.13942
2,5.75,-.66500002,19.924999,.14015999
2,5.8330002,-.67199999,20.110001,.1409
2,5.9169998,-.67799997,20.297199,.14165001
2,6,-.68400002,20.486,.14239
2,6.0830002,-.68900001,20.677799,.14315
2,6.1669998,-.69499999,20.871,.14391001
2,6.25,-.70099998,21.066,.14467999
2,6.3330002,-.70700002,21.262899,.14546999
2,6.4169998,-.71200001,21.463301,.14625999
2,6.5,-.71799999,21.667,.14706001
2,6.5830002,-.72299999,21.874201,.14788
2,6.6669998,-.72899997,22.086,.14872
2,6.75,-.73400003,22.302,.14958
2,6.8330002,-.73900002,22.523399,.15045001
2,6.9169998,-.74400002,22.749001,.15133999
2,7,-.74900001,22.98,.15225001
2,7.0830002,-.75400001,23.2141,.15317
2,7.1669998,-.75800002,23.4517,.15409
2,7.25,-.76200002,23.691,.155
2,7.3330002,-.76599997,23.933001,.15591
2,7.4169998,-.76999998,24.1756,.15682
2,7.5,-.77399999,24.419001,.15772
2,7.5830002,-.77700001,24.6625,.1586
2,7.6669998,-.77999997,24.907,.15947001
2,7.75,-.78299999,25.153,.16033
2,7.8330002,-.78500003,25.398001,.16117001
2,7.9169998,-.787,25.6434,.16201
2,8,-.78899997,25.889,.16282
2,8.0830002,-.79000002,26.133499,.16362999
2,8.1669998,-.792,26.378,.16443001
2,8.25,-.792,26.622,.16520999
2,8.3330002,-.79299998,26.8659,.16599
2,8.4169998,-.79299998,27.1105,.16677
2,8.5,-.79299998,27.355,.16754
2,8.5830002,-.79299998,27.601101,.16832
2,8.6669998,-.792,27.85,.16909
2,8.75,-.79100001,28.101,.16987
2,8.8330002,-.78899997,28.356701,.17064001
2,8.9169998,-.787,28.6159,.17140999
2,9,-.78500003,28.879999,.17218
2,9.0830002,-.78200001,29.1481,.17294
2,9.1669998,-.77899998,29.4203,.17369001
2,9.25,-.77600002,29.697001,.17445
2,9.3330002,-.77200001,29.9771,.1752
2,9.4169998,-.76800001,30.259701,.17594001
2,9.5,-.764,30.545,.17668
2,9.5830002,-.75800002,30.8335,.17742001
2,9.6669998,-.75300002,31.1243,.17816
2,9.75,-.74699998,31.417,.17891
2,9.8330002,-.74000001,31.7122,.17967001
2,9.9169998,-.73299998,32.009602,.18043999
2,10,-.72500002,32.307999,.18122
2,10.083,-.71700001,32.607498,.18200999
2,10.167,-.708,32.908298,.18279999
2,10.25,-.699,33.212002,.18358999
2,10.333,-.69,33.514702,.18437
2,10.417,-.68000001,33.821301,.18514
2,10.5,-.66900003,34.129002,.18588001
2,10.583,-.65799999,34.439301,.1866
2,10.667,-.64700001,34.751801,.18729
2,10.75,-.63499999,35.068001,.18794
2,10.833,-.62300003,35.384499,.18855
2,10.917,-.61000001,35.7048,.18911
2,11,-.597,36.029999,.18961
2,11.083,-.58399999,36.3582,.19004001
2,11.167,-.56999999,36.691101,.1904
2,11.25,-.55599999,37.028999,.19066
2,11.333,-.54100001,37.3731,.19081999
2,11.417,-.52600002,37.7197,.19089
2,11.5,-.51099998,38.074001,.19084001
2,11.583,-.49599999,38.433102,.19067
2,11.667,-.47999999,38.797699,.19039001
2,11.75,-.465,39.167999,.19
2,11.833,-.449,39.5443,.1895
2,11.917,-.43399999,39.9272,.18890999
2,12,-.41800001,40.316002,.18821
2,12.083,-.403,40.7118,.18742999
2,12.167,-.38800001,41.113602,.18656
2,12.25,-.37400001,41.521801,.18562999
2,12.333,-.36000001,41.935902,.18461999
2,12.417,-.347,42.3549,.18355
2,12.5,-.33500001,42.777901,.18243
2,12.583,-.324,43.204498,.18128
2,12.667,-.31299999,43.632801,.18009
2,12.75,-.30399999,44.063499,.17887001
2,12.833,-.29499999,44.495201,.17764001
2,12.917,-.28799999,44.9259,.17641
2,13,-.28099999,45.3568,.17518
2,13.083,-.27599999,45.786301,.17395
2,13.167,-.271,46.212101,.17275
